dcid,year,climateFinanceReceivedCommitmentsCrossCuttingCurrentUSD
country/BGD,2021,13832821.4
country/BLR,2013,161198.0
country/BLR,2014,18000.0
country/BLR,2015,723.2
country/BLR,2016,2604.8
country/BLR,2017,419482.0
country/BLR,2018,505494.4
country/BLR,2019,7068.400000000001
country/BLR,2020,9340550.4
country/BLR,2021,14784.0
country/BLZ,2013,59134.600000000006
country/BLZ,2016,112242.0
country/BLZ,2017,249900.0
country/BLZ,2019,2706621.8
country/BLZ,2020,221580.80000000002
country/BLZ,2021,21341878.0
country/BEN,2013,2291273.0
country/BEN,2014,4011690.2
country/BEN,2015,6415294.4
country/BEN,2016,18311149.0
country/BEN,2017,4499899.4
country/BEN,2018,4554285.2
country/BEN,2019,14986836.8
country/BEN,2020,17996111.8
country/BEN,2021,12974921.600000001
country/BTN,2013,1396158.0
country/BTN,2014,46698.8
country/BTN,2015,24800.800000000003
country/BTN,2016,26911.800000000003
country/BTN,2017,37180295.6
country/BTN,2018,95760.00000000001
country/BTN,2019,914886.0
country/BTN,2020,4825327.0
country/BTN,2021,9825815.2
country/BOL,2013,18917206.599999998
country/BOL,2014,24490569.000000004
country/BOL,2015,24092136.6
country/BOL,2016,10060803.600000001
country/BOL,2017,8154089.200000001
country/BOL,2018,6294305.2
country/BOL,2019,40602535.8
country/BOL,2020,6198447.0
country/BOL,2021,12658603.6
country/BIH,2013,23714966.74349439
country/BIH,2014,11454251.726363271
country/BIH,2015,66466.8
country/BIH,2016,1443633.0
country/BIH,2017,12534984.8
country/BIH,2018,3434645.6
country/BIH,2019,13244481.0
country/BIH,2020,4704161.6
country/BIH,2021,3009560.6
country/BWA,2013,61413.600000000006
country/BWA,2014,259644.0
country/BWA,2015,2238631.2
country/BWA,2017,950780.0
country/BWA,2018,709334.8
country/BWA,2019,2618778.0
country/BWA,2020,1661993.4000000001
country/BWA,2021,1683658.4
country/BRA,2013,14701839.2
country/BRA,2014,22976103.2
country/BRA,2015,40662900.0
country/BRA,2016,14350718.8
country/BRA,2017,19510209.2
country/BRA,2018,9714621.0
country/BRA,2019,27465801.8
country/BRA,2020,66834490.8
country/BRA,2021,269504944.6
country/BFA,2013,9043012.8
country/BFA,2014,5332718.600000001
country/BFA,2015,17899810.8
country/BFA,2016,36824726.0
country/BFA,2017,19719809.4
country/BFA,2018,15798590.000000002
country/BFA,2019,20668476.8
country/BFA,2020,9781947.6
country/BFA,2021,5908690.0
country/BDI,2013,3330711.0
country/BDI,2014,771202.4
country/BDI,2015,1384459.6
country/BDI,2016,12810325.2
country/BDI,2017,430080.00000000006
country/BDI,2018,10597582.4
country/BDI,2019,5933320.800000001
country/BDI,2020,16190383.4
country/BDI,2021,6476555.6
country/CPV,2013,2339581.6
country/CPV,2014,96873.20000000001
country/CPV,2015,390812.0
country/CPV,2016,5752437.8
country/CPV,2017,127647.20000000001
country/CPV,2018,145110.0
country/CPV,2019,7926610.4
country/CPV,2020,1356741.4
country/CPV,2021,12325514.8
country/KHM,2013,17982959.2
country/KHM,2014,33123898.8
country/KHM,2015,15327403.8
country/KHM,2016,10493068.8
country/KHM,2017,12261433.200000001
country/KHM,2018,46225452.8
country/KHM,2019,15992957.0
country/KHM,2020,20912996.4
country/KHM,2021,12633010.96
country/CMR,2013,1030819.8000000002
country/CMR,2014,4982308.4
country/CMR,2015,15762035.000000002
country/CMR,2016,2789455.6
country/CMR,2017,14351157.400000002
country/CMR,2018,9582164.4
country/CMR,2019,15489065.200000003
country/CMR,2020,4627929.2
country/CMR,2021,28023570.8
country/CAF,2013,4061.6000000000004
country/CAF,2015,99833.6
country/CAF,2016,33174.8
country/CAF,2017,444143.80000000005
country/CAF,2018,1227.6000000000001
country/CAF,2019,3335626.0
country/CAF,2020,879307.6000000001
country/CAF,2021,673450.4
country/TCD,2013,10628948.6
country/TCD,2015,2332254.4
country/TCD,2016,717903.6000000001
country/TCD,2017,1117348.6
country/TCD,2018,308431.0
country/TCD,2019,4692998.2
country/TCD,2020,4839504.2
country/TCD,2021,1616920.6
country/CHL,2013,123713.0
country/CHL,2014,19305.600000000002
country/CHL,2015,41508.200000000004
country/CHL,2016,7136.799999999999
country/CHL,2017,116299.20000000001
country/CHN,2013,219119036.39999998
country/CHN,2014,13472554.4
country/CHN,2015,49401113.0
country/CHN,2016,23083761.400000002
country/CHN,2017,96659536.0
country/CHN,2018,3858628.2
country/CHN,2019,49466422.800000004
country/CHN,2020,95483276.2
country/CHN,2021,31980552.0
country/COL,2013,19266658.6
country/COL,2014,26755463.0
country/COL,2015,348053844.0
country/COL,2016,213809202.2
country/COL,2017,358723254.8
country/COL,2018,158349068.20000002
country/COL,2019,31881755.400000002
country/COL,2020,150771837.20000002
country/COL,2021,223375865.20000002
country/COM,2013,56646.4
country/COM,2015,1663894.0
country/COM,2016,611500.8
country/COM,2017,112727.0
country/COM,2018,73095.6
country/COM,2019,8258746.2
country/COM,2020,97284.8
country/COM,2021,159359.8
country/COG,2013,55902.4
country/COG,2015,5546.0
country/COG,2016,69379.6
country/COG,2017,21192.600000000002
country/COG,2018,18314161.200000003
country/COG,2019,2781183.0
country/COG,2020,69709.20000000001
country/COG,2021,366318.60000000003
country/COK,2013,1430704.2
country/COK,2014,87379.20000000001
country/COK,2015,8952.0
country/CRI,2013,1658024.0
country/CRI,2014,4485754.4
country/CRI,2015,1747898.2000000002
country/CRI,2016,1633085.6
country/CRI,2017,384074.0
country/CRI,2018,262274.8
country/CRI,2019,975558.0
country/CRI,2020,1604956.0
country/CRI,2021,57025766.6
country/CUB,2013,366037.8
country/CUB,2014,316717.0
country/CUB,2015,658898.6
country/CUB,2016,1055351.8
country/CUB,2017,1662386.0
country/CUB,2018,11078668.200000001
country/CUB,2019,8357140.2
country/CUB,2020,3181393.4
country/CUB,2021,73239075.0
country/CIV,2013,4799412.2
country/CIV,2014,26006.2
country/CIV,2015,7842106.399999999
country/CIV,2016,6425106.800000001
country/CIV,2017,30731867.2
country/CIV,2018,12974044.4
country/CIV,2019,3565410.4
country/CIV,2020,31855105.400000002
country/CIV,2021,21078350.2
country/PRK,2013,130382.8
country/PRK,2014,69945.2
country/PRK,2016,67505.2
country/PRK,2019,70973.2
country/COD,2013,14577201.799999999
country/COD,2014,11032605.0
country/COD,2015,21668129.2
country/COD,2016,67898506.6
country/COD,2017,49641015.0
country/COD,2018,41761369.0
country/COD,2019,8917656.6
country/COD,2020,21025112.6
country/COD,2021,55964101.400000006
country/DJI,2013,3983006.0
country/DJI,2016,400000.0
country/DJI,2017,572626.8
country/DJI,2018,556899.6
country/DJI,2019,34249.6
country/DJI,2020,113763.8
country/DJI,2021,78520.0
country/DMA,2017,27604.0
country/DMA,2018,3101616.6
country/DMA,2019,2950269.8
country/DMA,2020,31898.0
country/DMA,2021,235004.0
country/DOM,2013,179719.6
country/DOM,2014,205603178.0
country/DOM,2015,2965612.4
country/DOM,2016,4990407.8
country/DOM,2017,703514.8
country/DOM,2018,720055.0
country/DOM,2019,27055838.0
country/DOM,2020,24874555.0
country/DOM,2021,287921.2
country/ECU,2013,18132617.2
country/ECU,2014,7443356.4
country/ECU,2015,681201.4
country/ECU,2016,4053832.2000000007
country/ECU,2017,76583982.8
country/ECU,2018,10585520.6
country/ECU,2019,9304940.6
country/ECU,2020,2875743.0
country/ECU,2021,87615667.0
country/EGY,2013,2041807.62434944
country/EGY,2014,74092026.7642829
country/EGY,2015,77983670.7651692
country/EGY,2016,1602007.612212761
country/EGY,2017,974431.4
country/EGY,2018,189760.8
country/EGY,2019,49680254.535904564
country/EGY,2020,32201734.5169663
country/EGY,2021,69068531.52217716
country/SLV,2013,519966.00000000006
country/SLV,2014,907489.6000000001
country/SLV,2015,1088731.2000000002
country/SLV,2016,6315411.0
country/SLV,2017,1420402.8
country/SLV,2018,36372811.8
country/SLV,2019,1576428.8
country/SLV,2020,1845176.6
country/SLV,2021,53964713.0
country/GNQ,2013,2878.4
country/GNQ,2015,9155.6
country/GNQ,2017,11341.2
country/GNQ,2019,2341897.2
country/GNQ,2020,52505.200000000004
country/GNQ,2021,376068.4
country/ERI,2014,39803.600000000006
country/ERI,2015,38158.8
country/ERI,2016,6634.8
country/ERI,2017,33322060.8
country/ERI,2018,35004.0
country/ERI,2019,-2792.4
country/ERI,2020,578298.0
country/ERI,2021,617496.8
country/SWZ,2014,6021.6
country/SWZ,2015,11314.400000000001
country/SWZ,2016,2928636.8000000003
country/SWZ,2019,8445808.6
country/SWZ,2020,677900.4
country/SWZ,2021,3704506.6
country/ETH,2013,69221838.4
country/ETH,2014,30535750.0
country/ETH,2015,95300740.4
country/ETH,2016,146932891.8
country/ETH,2017,41808791.0
country/ETH,2018,61333498.400000006
country/ETH,2019,51657895.800000004
country/ETH,2020,36419163.0
country/ETH,2021,43881387.6
country/FJI,2013,109259.6
country/FJI,2014,95055.00000000001
country/FJI,2015,3361386.4
country/FJI,2016,3604482.6
country/FJI,2017,10213164.6
country/FJI,2018,10372254.3
country/FJI,2019,2510313.8207415026
country/FJI,2020,4033802.2023200896
country/FJI,2021,12827452.8
country/GAB,2013,3678.4
country/GAB,2017,120981.4
country/GAB,2018,2194.8
country/GAB,2019,2863104.0
country/GAB,2020,218000.0
country/GAB,2021,1055.2
country/GMB,2013,8155.6
country/GMB,2014,5080.800000000001
country/GMB,2015,2500.0
country/GMB,2017,10370871.200000001
country/GMB,2018,951513.6
country/GMB,2019,772709.2000000001
country/GMB,2020,2615911.2
country/GMB,2021,721870.8
country/GEO,2013,3376394.6000000006
country/GEO,2014,99360927.6484543
country/GEO,2015,30425470.8
country/GEO,2016,46093289.0
country/GEO,2017,2725169.1737662
country/GEO,2018,42426295.54745661
country/GEO,2019,50024024.494794585
country/GEO,2020,68113779.2
country/GEO,2021,28580246.8
country/GHA,2013,4375403.4
country/GHA,2014,1027660.0000000001
country/GHA,2015,2697271.8
country/GHA,2016,56466082.4
country/GHA,2017,128374053.0
country/GHA,2018,3694897.4
country/GHA,2019,5751494.0
country/GHA,2020,5667847.4
country/GHA,2021,4246108.0
country/GRD,2014,79607.20000000001
country/GRD,2019,2161827.6
country/GRD,2020,10736.0
country/GRD,2021,1669820.0
country/GTM,2013,16520983.6
country/GTM,2014,6417117.600000001
country/GTM,2015,14852911.600000001
country/GTM,2016,46644479.4
country/GTM,2017,28969360.2
country/GTM,2018,8860263.6
country/GTM,2019,5447578.600000001
country/GTM,2020,9590496.4
country/GTM,2021,7315407.0
country/GIN,2013,51927.8
country/GIN,2014,18382.4
country/GIN,2015,443704.80000000005
country/GIN,2016,4239435.0
country/GIN,2017,8120711.000000001
country/GIN,2018,614302.4
country/GIN,2019,6147795.2
country/GIN,2020,1007026.2000000001
country/GIN,2021,3108894.0
country/GNB,2013,119946.0
country/GNB,2015,4457903.0
country/GNB,2016,381623.2
country/GNB,2017,39881.0
country/GNB,2018,20925088.8
country/GNB,2019,808510.4
country/GNB,2020,1037184.4
country/GNB,2021,181524.0
country/GUY,2013,3877.2000000000003
country/GUY,2014,1765340.0
country/GUY,2015,1221538.8
country/GUY,2017,5694.400000000001
country/GUY,2018,212770.0
country/GUY,2019,1021890.4
country/GUY,2020,48646.40000000001
country/GUY,2021,11705.2
country/HTI,2013,11777938.6
country/HTI,2014,1337849.8
country/HTI,2015,18821607.0
country/HTI,2016,17559254.599999998
country/HTI,2017,57954694.4
country/HTI,2018,27469377.8
country/HTI,2019,7315986.0
country/HTI,2020,5766392.800000001
country/HTI,2021,3185738.8000000003
country/HND,2013,636465.2000000001
country/HND,2014,6182715.600000001
country/HND,2015,5076345.0
country/HND,2016,47466873.2
country/HND,2017,13359647.6
country/HND,2018,4650215.0
country/HND,2019,62112698.4
country/HND,2020,3372530.4
country/HND,2021,18049530.6
country/IND,2013,8618975.6
country/IND,2014,52170948.0
country/IND,2015,25116643.6
country/IND,2016,16250182.200000001
country/IND,2017,378924981.4
country/IND,2018,156490338.60000002
country/IND,2019,519207789.6
country/IND,2020,154607463.8
country/IND,2021,39637682.0
country/IDN,2013,66773015.8
country/IDN,2014,69507946.2
country/IDN,2015,76131317.4
country/IDN,2016,109796707.4
country/IDN,2017,46482588.4
country/IDN,2018,290891623.8
country/IDN,2019,38848153.800000004
country/IDN,2020,52018199.800000004
country/IDN,2021,95461625.0
country/IRN,2013,6125.200000000001
country/IRN,2014,485282.80000000005
country/IRN,2015,958297.6000000001
country/IRN,2016,1179320.0
country/IRN,2017,624869.0
country/IRN,2018,113290.6
country/IRN,2019,2261638.8
country/IRN,2020,37178.0
country/IRN,2021,158627.2
country/IRQ,2013,879135.4
country/IRQ,2014,716858.0
country/IRQ,2015,13972.400000000001
country/IRQ,2016,4448084.8
country/IRQ,2017,47502235.800000004
country/IRQ,2018,3113694.2
country/IRQ,2019,25916646.4
country/IRQ,2020,5797732.8
country/IRQ,2021,14053113.8
country/JAM,2013,150000.0
country/JAM,2014,214590.0
country/JAM,2015,2100000.0
country/JAM,2016,209965.0
country/JAM,2017,60040.0
country/JAM,2018,35000.0
country/JAM,2019,1038962.0
country/JAM,2020,628575.2000000001
country/JAM,2021,1834190.0
country/JOR,2013,19620237.99934599
country/JOR,2014,40116216.42319225
country/JOR,2015,21275519.94664448
country/JOR,2016,47956938.355234504
country/JOR,2017,204563799.6
country/JOR,2018,67392166.8
country/JOR,2019,150010808.99458188
country/JOR,2020,155859295.8
country/JOR,2021,71204348.6
country/KAZ,2013,18396503.523313902
country/KAZ,2014,38324695.24837473
country/KAZ,2015,11822503.78889628
country/KAZ,2016,12341748.48698441
country/KAZ,2017,4721843.4535678
country/KAZ,2018,14214232.959966958
country/KAZ,2019,5675910.16113288
country/KAZ,2020,1907129.826438747
country/KAZ,2021,487149.6
country/KEN,2013,55772516.0
country/KEN,2014,27480975.400000002
country/KEN,2015,57400237.2
country/KEN,2016,42900929.2
country/KEN,2017,28542098.2
country/KEN,2018,18906077.400000002
country/KEN,2019,26223178.400000002
country/KEN,2020,9674079.6
country/KEN,2021,16039857.0
country/KIR,2013,2946886.4000000004
country/KIR,2014,105341.6
country/KIR,2015,241298.4
country/KIR,2016,1931914.0000000002
country/KIR,2017,1765778.8000000003
country/KIR,2018,28076509.85
country/KIR,2019,716774.4
country/KIR,2020,1249826.6
country/KIR,2021,3616464.8000000003
country/XKX,2013,22189294.05565587
country/XKX,2014,4718240.6
country/XKX,2015,15479604.799999999
country/XKX,2016,3025725.0
country/XKX,2017,4129534.8000000003
country/XKX,2018,414832.0
country/XKX,2019,2680207.4
country/XKX,2020,9765511.200000001
country/XKX,2021,2038857.2
country/KGZ,2013,16091135.92087095
country/KGZ,2014,7697969.956428289
country/KGZ,2015,1272606.095840266
country/KGZ,2016,769606.0384164549
country/KGZ,2017,438421.4
country/KGZ,2018,1176300.928337071
country/KGZ,2019,2593704.8949572705
country/KGZ,2020,3177071.6360445013
country/KGZ,2021,7407553.752977061
country/LAO,2013,3051299.6
country/LAO,2014,12843318.4
country/LAO,2015,819990.4
country/LAO,2016,28159793.6
country/LAO,2017,8652803.8
country/LAO,2018,6181313.200000001
country/LAO,2019,6098601.4
country/LAO,2020,14604636.6
country/LAO,2021,19674477.0
country/LBN,2013,33027.4
country/LBN,2014,43079.600000000006
country/LBN,2015,2218524.8000000003
country/LBN,2016,1701647.6
country/LBN,2017,940359.0
country/LBN,2018,57579077.569031
country/LBN,2019,1799103.79941
country/LBN,2020,7712415.4
country/LBN,2021,5564987.2
country/LSO,2013,398300.4
country/LSO,2014,23200.4
country/LSO,2019,203747.2
country/LSO,2020,3691604.8000000003
country/LSO,2021,4627713.2
country/LBR,2013,19057443.6
country/LBR,2014,4926485.6
country/LBR,2015,11747642.8
country/LBR,2016,10118959.0
country/LBR,2017,12450224.0
country/LBR,2018,8872534.0
country/LBR,2019,3111924.2
country/LBR,2020,1207171.2
country/LBR,2021,4436450.800000001
country/LBY,2016,3980.8
country/LBY,2017,4509.2
country/LBY,2019,681.2
country/LBY,2020,481492.0
country/LBY,2021,957548.4
country/MDG,2013,5769182.2
country/MDG,2014,14705181.600000001
country/MDG,2015,15427580.0
country/MDG,2016,82050627.4
country/MDG,2017,54944842.400000006
country/MDG,2018,54224984.400000006
country/MDG,2019,21257021.0
country/MDG,2020,35442241.2
country/MDG,2021,7390458.4
country/MWI,2013,19681603.6
country/MWI,2014,6439633.2
country/MWI,2015,8549001.8
country/MWI,2016,28833108.6
country/MWI,2017,8646184.6
country/MWI,2018,6477477.8
country/MWI,2019,7064699.4
country/MWI,2020,4008598.0
country/MWI,2021,6437804.2
country/MYS,2013,1015965.4
country/MYS,2014,167764.0
country/MYS,2015,3872533.1999999997
country/MYS,2016,340626.80000000005
country/MYS,2017,903374.4
country/MYS,2018,108973.2
country/MYS,2019,1722423.6
country/MYS,2020,3190103.4
country/MYS,2021,781656.8
country/MDV,2013,6441416.6
country/MDV,2014,369302.0
country/MDV,2015,4447190.8
country/MDV,2018,908.8000000000002
country/MDV,2019,1947202.4
country/MDV,2020,2337928.0
country/MDV,2021,341360.4
country/MLI,2013,29554271.6
country/MLI,2014,7341413.6
country/MLI,2015,16162345.4
country/MLI,2016,44809452.2
country/MLI,2017,13238346.0
country/MLI,2018,15511035.0
country/MLI,2019,4943902.399999999
country/MLI,2020,30681157.200000003
country/MLI,2021,17792779.6
country/MHL,2013,533961.6
country/MHL,2014,87379.20000000001
country/MHL,2015,63361.600000000006
country/MHL,2016,36030.0
country/MHL,2017,4352.8
country/MHL,2018,7293.6
country/MHL,2019,132833.2
country/MHL,2020,24967.200000000004
country/MHL,2021,1447114.4000000001
country/MRT,2013,1007187.2
country/MRT,2014,1838985.6
country/MRT,2015,321480.4
country/MRT,2016,246395.6
country/MRT,2017,559745.2
country/MRT,2018,1948206.4000000001
country/MRT,2019,175991.6
country/MRT,2020,454593.6
country/MRT,2021,3934757.8
country/MUS,2013,1774.8000000000002
country/MUS,2014,1177588.0
country/MUS,2015,238403.0
country/MUS,2016,333849.0
country/MUS,2017,21192.8
country/MUS,2018,107071.20000000001
country/MUS,2019,5381667.4
country/MUS,2020,137656183.6
country/MUS,2021,211207.2
country/MEX,2013,2077057.4
country/MEX,2014,59074695.4
country/MEX,2015,1896170.6
country/MEX,2016,7798438.4
country/MEX,2017,155532230.4
country/MEX,2018,432297300.1999999
country/MEX,2019,479463011.0
country/MEX,2020,12216135.2
country/MEX,2021,21970557.240000002
country/FSM,2013,162331.6
country/FSM,2014,993139.2000000002
country/FSM,2015,73973.6
country/FSM,2016,58426.0
country/FSM,2017,36676.4
country/FSM,2018,2281.2000000000003
country/FSM,2019,126589.6
country/FSM,2020,356411.2
country/FSM,2021,75394.0
country/MDA,2013,13588561.8619225
country/MDA,2014,17803850.60610322
country/MDA,2015,4694398.504492512
country/MDA,2016,27496506.000000004
country/MDA,2017,116683.6
country/MDA,2018,838072.0
country/MDA,2019,1380782.8
country/MDA,2020,9997829.885470085
country/MDA,2021,562896.4
country/MNG,2013,6932053.000000001
country/MNG,2014,9420971.38877538
country/MNG,2015,2425014.2
country/MNG,2016,789906.4
country/MNG,2017,1765865.2000000002
country/MNG,2018,143017745.435383
country/MNG,2019,14995441.71831412
country/MNG,2020,2842799.760683761
country/MNG,2021,9799405.8
country/MNE,2013,9107396.05565587
country/MNE,2015,2218982.0000000005
country/MNE,2016,9349939.2
country/MNE,2017,2705444.8000000003
country/MNE,2018,4297932.4
country/MNE,2019,3773696.6
country/MNE,2020,3962146.4000000004
country/MNE,2021,4788466.8
country/MAR,2013,106859809.30100903
country/MAR,2014,89304960.83051609
country/MAR,2015,57234684.71259013
country/MAR,2016,124866064.6
country/MAR,2017,19124972.6
country/MAR,2018,11627730.19079429
country/MAR,2019,16010913.093463287
country/MAR,2020,48996892.911680914
country/MAR,2021,117577183.58720297
country/MOZ,2013,15496077.600000001
country/MOZ,2014,42556823.0
country/MOZ,2015,16009949.2
country/MOZ,2016,46717413.2
country/MOZ,2017,82594628.23
country/MOZ,2018,52226448.800000004
country/MOZ,2019,44047903.400000006
country/MOZ,2020,6956107.0
country/MOZ,2021,48814828.800000004
country/MMR,2013,11817921.2
country/MMR,2014,10339625.600000001
country/MMR,2015,3824218.4000000004
country/MMR,2016,2730076.0
country/MMR,2017,5001400.6
country/MMR,2018,5861041.8
country/MMR,2019,25743852.2
country/MMR,2020,119559514.0
country/MMR,2021,3955523.4000000004
country/NAM,2013,13021605.8
country/NAM,2014,31946.0
country/NAM,2015,67451.8
country/NAM,2016,6416410.000000001
country/NAM,2017,138836.0
country/NAM,2018,7212102.800000001
country/NAM,2019,3945541.6
country/NAM,2020,994442.4
country/NAM,2021,2224754.8
country/NRU,2013,64317.200000000004
country/NRU,2014,87379.20000000001
country/NRU,2017,37674000.0
country/NRU,2019,1804768.4
country/NRU,2020,244145.20000000004
country/NRU,2021,968750.0000000001
country/NPL,2013,42157412.4
country/NPL,2014,16746508.6
country/NPL,2015,14680045.4
country/NPL,2016,20790778.2
country/NPL,2017,9101455.8
country/NPL,2018,2527589.0
country/NPL,2019,5204108.600000001
country/NPL,2020,4893904.4
country/NPL,2021,11062457.0
country/NIC,2013,9158694.4
country/NIC,2014,2449209.2
country/NIC,2015,1447562.4
country/NIC,2016,14095253.400000002
country/NIC,2017,1367694.4000000001
country/NIC,2018,4870331.2
country/NIC,2019,5703490.0
country/NIC,2020,4301242.8
country/NIC,2021,1784387.6
country/NER,2013,1461853.0
country/NER,2014,18311008.200000003
country/NER,2015,3850381.6
country/NER,2016,8072059.4
country/NER,2017,4334633.800000001
country/NER,2018,7145158.2
country/NER,2019,2761556.2
country/NER,2020,4876091.600000001
country/NER,2021,39298251.2
country/NGA,2013,14494358.000000002
country/NGA,2014,474142.0
country/NGA,2015,115515798.8
country/NGA,2016,13189386.8
country/NGA,2017,66226886.00000001
country/NGA,2018,5048422.8
country/NGA,2019,711127.2000000001
country/NGA,2020,22504073.400000002
country/NGA,2021,29207575.6
country/NIU,2013,68416.8
country/NIU,2014,87379.20000000001
country/NIU,2019,118260.0
country/NIU,2021,779058.6
country/MKD,2013,19021368.4834838
country/MKD,2014,140.8
country/MKD,2015,4688932.800000001
country/MKD,2016,2270943.2
country/MKD,2017,11783749.8
country/MKD,2018,17815264.4
country/MKD,2019,8535861.4
country/MKD,2020,14760997.4
country/MKD,2021,13395940.0
country/PAK,2013,1860316.4000000001
country/PAK,2014,178418935.6
country/PAK,2015,29323886.400000002
country/PAK,2016,17375487.2
country/PAK,2017,24708347.000000004
country/PAK,2018,4625892.4
country/PAK,2019,53493438.0
country/PAK,2020,14350453.8
country/PAK,2021,19740669.8
country/PLW,2013,101549.6
country/PLW,2014,1630579.2
country/PLW,2015,21153.800000000003
country/PLW,2016,15146.0
country/PLW,2017,4352.8
country/PLW,2018,19502.8
country/PLW,2019,424994.0
country/PLW,2020,260948.0
country/PLW,2021,430818.0
country/PAN,2013,519558.0
country/PAN,2014,428412.4
country/PAN,2015,125802.0
country/PAN,2016,2035.2000000000003
country/PAN,2017,248991.2
country/PAN,2018,20101.600000000002
country/PAN,2019,2417836.0
country/PAN,2020,2889098.0
country/PAN,2021,23583513.0
country/PNG,2013,4860363.600000001
country/PNG,2014,2226683.2
country/PNG,2015,4857364.2
country/PNG,2016,12169716.200000001
country/PNG,2017,29171853.0
country/PNG,2018,68715508.4
country/PNG,2019,17307720.8
country/PNG,2020,26403397.8
country/PNG,2021,34556016.0
country/PRY,2013,181635.2
country/PRY,2014,242001.6
country/PRY,2015,283679.2
country/PRY,2016,3876631.6000000006
country/PRY,2017,2547565.0
country/PRY,2018,85511788.0
country/PRY,2019,10453073.600000001
country/PRY,2020,35817987.2
country/PRY,2021,1100210.0
country/PER,2013,14953167.0
country/PER,2014,35936838.0
country/PER,2015,29370248.8
country/PER,2016,80512384.4
country/PER,2017,92609610.8
country/PER,2018,16012374.600000001
country/PER,2019,55575313.6
country/PER,2020,27088536.8
country/PER,2021,92827128.6
country/PHL,2013,9867566.8
country/PHL,2014,10303405.8
country/PHL,2015,7736716.39388125
country/PHL,2016,29206846.86
country/PHL,2017,18555898.6
country/PHL,2018,3558268.0
country/PHL,2019,13128746.0
country/PHL,2020,7699794.4
country/PHL,2021,7282614.4
country/RWA,2013,20660691.0
country/RWA,2014,74856643.2
country/RWA,2015,1826876.0000000002
country/RWA,2016,16274210.4
country/RWA,2017,11739430.6
country/RWA,2018,35896430.800000004
country/RWA,2019,29006633.8
country/RWA,2020,1104486.8
country/RWA,2021,12707287.0
country/SHN,2016,86962.0
country/SHN,2017,6090.0
country/SHN,2018,27620.800000000003
country/SHN,2021,737633.6000000001
country/KNA,2013,6778014.0
country/LCA,2019,1058746.4
country/LCA,2020,103262.4
country/LCA,2021,3732300.2
country/VCT,2014,540000.0
country/VCT,2017,54629.200000000004
country/VCT,2018,10096.0
country/VCT,2020,5368.0
country/VCT,2021,299839.0
country/WSM,2013,380121.8
country/WSM,2014,1418622.0
country/WSM,2015,2225987.4000000004
country/WSM,2016,12273067.8
country/WSM,2017,3449261.6
country/WSM,2018,1575367.0
country/WSM,2019,1370396.8
country/WSM,2020,1690172.0
