dcid,year,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDAustria,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDBelgium,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDCanada,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDClimateInvestmentFunds,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDFrance,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDGermany,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDGlobalEnvironmentFacility,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDIslamicDevelopmentBank,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDItaly,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDJapan,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDKorea,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDNordicDevelopmentFund,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDSpain,climateFinanceReceivedCommitmentsCrossCuttingOdaLoansByProviderCurrentUSDUnitedArabEmirates
country/CHN,2013,,,,,,66383430.0,7966011.600000001,,,,,,,,,,
country/CHN,2014,,,,,,,11675733.200000001,,,,,,,,,,
country/CHN,2015,,,,,,33277870.0,12601220.0,,,,,,,,,,
country/CHN,2016,,,,,,,19904898.8,,,,,,,,,,
country/CHN,2017,,,,,,84545147.0,,,,,,,,,,,
country/CHN,2019,,,,,,44777790.400000006,,,,,,,,,,,
country/CHN,2020,,,,,,,84330484.4,,,,,,,,,,
country/CHN,2021,,,,,,,28382214.0,,,,,,,,,,
country/CIV,2017,,,,,18880000.0,,,,,,,,,,,,
country/CIV,2020,,,,,,8524216.4,13675213.600000001,,,,,,,,,,
country/COL,2015,,,,,,305047144.0,33290350.400000002,,,,,,,,,,
country/COL,2016,,,,,,201260644.0,,,,,,,,,,,
country/COL,2017,,,,,,225453726.0,33818058.800000004,,,,,,,,,,
country/COL,2018,,,,,,93297986.0,47208780.800000004,,,,,,,,,,
country/COL,2019,,,,,,,17703797.6,,,,,,,,,,
country/COL,2020,,,,,,95726495.60000001,36467236.4,,,,,,,,,,
country/COL,2021,,,,,,,104332203.60000001,,,,,,,100000000.0,,,
country/CUB,2018,,,,,,9441756.0,,,,,,,,,,,
country/DOM,2014,,,,,,204811414.0,,,,,,,,,,,
country/DOM,2020,,,,,,22792023.0,,,,,,,,,,,
country/ECU,2017,,,,,,71217332.0,,,,,,,,,,,
country/ECU,2021,,,,,,,9697256.4,,,,,,,,,,
country/EGY,2015,,,,,,,,,,,,4437049.2,,,,,
country/ETH,2013,,,,,,,,,,32845000.0,,,,,,,
country/ETH,2014,,,,,,,,,,25600000.0,,,,,,,
country/ETH,2016,,,,,,,,,,,,6634966.400000001,,,,,
country/ETH,2018,,,,,,,,,,,,14162634.4,,,,,
country/GEO,2018,,,,,,,18883512.400000002,,,,,,,,,,
country/GEO,2020,,,,,,,59259259.2,,,,,,,,,,
country/GHA,2016,,,,,20000000.0,,,,,,,,,,,,
country/HND,2016,,,,,,,,,18825000.0,,,,,,,,
country/HND,2019,,,,,,,,,52899000.0,,,,,,,,
country/IDN,2016,,,,,,,19904898.8,,,,,,,,,,
country/IND,2014,,,,,,,,,,,,,43043057.6,,,,
country/IND,2017,,,,,,,24799910.0,,,,,,,,,,
country/IND,2018,,,,,,,,,,,,,84836894.80000001,,,,
country/IND,2020,,,,,,,,,,,,,146418589.20000002,,,,
country/IRQ,2017,,,,,,,,,,,,44717758.800000004,,,,,
country/JOR,2016,,,,,,,13269932.399999999,,,,,,,,,,
country/JOR,2017,,,,,,169090294.0,33818058.800000004,,,,,,,,,,
country/JOR,2018,,,,,,,62315590.400000006,,,,,,,,,,
country/JOR,2019,,,,,,134333370.2,8060002.4,,,,,,,,,,
country/JOR,2020,,,,,,79772080.0,56068376.0,,,,,,,,,,
country/KHM,2019,,,,,,8919736.0,,,,,,,,,,,
country/LKA,2014,,,,,,69124106.0,,,,,,,,,,,
country/LKA,2016,,,5307973.2,,,,,,,,,,,,,,
country/MAR,2013,,,,,,39830058.0,,,,,,,,,,,
country/MAR,2016,,,,,,,,,,,,,60097773.2,,,,
country/MAR,2019,,,,,,,9851114.0,,,,739026.7559689131,,,,,,
country/MAR,2020,,,,,,45584045.6,,,,,,,,,,,
country/MAR,2021,,,,,,,,,,,,,63581459.6,,,,
country/MDG,2014,,,,,,,,,,3250000.0,,,,,,,
country/MDG,2017,,,,,,28181716.0,,,,,,,,,,,
country/MEX,2014,,,,,,,53071514.0,,,,,,,,,,
country/MEX,2017,,,,,,,66631991.60000001,,,,,,,,,,
country/MEX,2018,,,,43110100.0,,,14246808.4,,,,,,,,,,
country/MLI,2013,,,,,,,,,,1350000.0,,,,,,,
country/MLI,2020,,,,,,18233618.400000002,,,,,,4102564.0,,,,,
country/MMR,2019,,,,,,,,,,,,13433337.200000001,,,,,
country/MMR,2020,,,,,,,,,,,,,104077840.0,,,,
country/MOZ,2013,,,,,,,,,,10698600.0,,,,,,,
country/MOZ,2014,,,,,,,,,,14250000.0,,,,,,,
country/MOZ,2017,,,,,26400000.0,,,,,,,,,,,,
country/MUS,2019,,,,,,,,,,,,,,,,,4000000.0
country/MUS,2020,,,,,,136752136.8,,,,,,,,,,,
country/MWI,2013,,,,,,,,,,1698600.0,,,,,,,
country/NAM,2018,,,,,,,7081317.600000001,,,,,,,,,,
country/NGA,2015,,,,,,90293955.0,,,,,,,,,,,
country/NGA,2020,,,,,,16401563.600000001,,,,,,,,,,,
country/NIC,2016,,,,,,,,,,,,,,13352000.000000002,,,
country/NPL,2014,,,,,,,,,,1568000.0,,,,,,,
country/PAK,2014,,,,,,14594666.0,,,,162456240.0,,,,,,,
country/PAK,2015,,,,,,,17748197.6,,,,,,,,,,
country/PER,2014,,,,,,,18884522.0,,,,,,,,,,
country/PER,2016,,,,,,59578680.0,,,,,,,,,,,
country/PER,2017,,,,,33600000.0,,,,,,,,,,,,
country/PER,2019,,,,,,47016679.6,,,,,,,,,,,
country/PER,2021,,,,,,,25543992.400000002,,,,,,,,,,
country/PRY,2019,,,,,,,,,,,,,,,,7971833.600000001,
country/PRY,2020,,,,,,,,,,,,,34206799.2,,,,
country/RWA,2014,,,,,,,,,,72419600.0,,,,,,,
country/SEN,2015,,,,,,,,,,,,6655574.0,,,,,
country/SEN,2018,,,,,,37767024.8,,,,,,,,,,,5200000.0
country/SEN,2020,,,,,,,,,,,,4558404.4,,,,,
country/SLB,2014,300000.0,,,,,,,,,,,,,,,,
country/SLB,2019,,,,,,,,,,,,,,,,,6000000.0
country/SRB,2014,,,,,,,10614302.8,,,,,,,,,,
country/SRB,2017,,,,,,,6763611.600000001,,,,,,,,,,
country/SRB,2018,,,,,,,11802195.2,,,,,,,,,,
country/SRB,2019,,,,,,,9851114.0,,,,,,,,,,
country/SRB,2020,,11396011.200000001,,,,,18233618.400000002,,,,,,,,,,
country/SRB,2021,,,,,,,33112582.800000004,,,,,,,,,,
country/TUN,2015,,,,,,,6655574.0,,,,,,,,,,
country/TUN,2016,,,,,,66349663.00000001,,,,,,,,,,,
country/TUN,2017,,,,,,,32465336.400000002,,,,,,,,,,
country/TUN,2019,,,,,,,9537669.200000001,,,,,,,,,,
country/TUR,2014,,,,,,199018177.0,,,,,,,,,,,
country/TUR,2019,,,,,,167916713.0,,,,,,,,,,,
country/UGA,2018,,,,,,,16523073.200000001,,,,,,,,,,
country/UGA,2021,,,,,,,,,,,5720000.0,,,,,,
country/VNM,2013,,,,,,,,,,,,,153702698.0,20000000.0,,,
country/VNM,2014,,,,,,26535757.0,7960727.2,,,54800000.0,,,94475543.0,10000000.0,,,
country/VNM,2015,,,,,,22185247.0,,,,,,,123964586.0,,,,
country/VNM,2016,,,,,,,,,,,,,91909484.0,,,,
country/VNM,2017,,,,,,,,,,,,1803630.0,89139986.0,,,,
country/ZAF,2016,,,,,,22631870.0,,,,,,,,,,,
country/ZAF,2018,,,,,,,37767024.0,,,,,,,,,,
country/ZMB,2013,,,,,,,,,,1698600.0,,,,,,,
