dcid,year,debtOutstandingAndDisbursedPPGCurrentUSD
country/CMR,1995,9714493035.8
country/CMR,1998,9678171359.3
country/CMR,1999,8983546798.4
country/CMR,2001,8324048316.8
country/CMR,2005,6467062408.8
country/CMR,2009,2166885986.1
country/CMR,2017,8017692176.5
country/CMR,2019,10331734456.8
country/CMR,1975,392956333.8
country/CMR,1978,1217182610.8
country/CMR,1980,2057795268.2
country/CMR,1982,1999480620.5
country/CMR,1984,1864070632.6
country/CMR,1987,3286224303.7
country/CMR,1994,8377201288.8
country/CMR,1996,9581322441.2
country/CMR,2002,9032685171.1
country/CMR,2004,9304023793.0
country/CMR,2007,2156627427.2
country/CMR,2008,2097496704.1
country/CMR,2010,2159703262.1
country/CMR,2014,4617061295.4
country/CMR,2015,5730640194.5
country/CMR,2021,12426742700.6
country/CMR,1977,917499481.8
country/CMR,1979,1703559595.0
country/CMR,1988,3467742168.3
country/CMR,1989,4274217337.8
country/CMR,1993,6564000547.1
country/CMR,2000,8753280285.5
country/CMR,2006,2391544752.0
country/CMR,2012,2922747312.0
country/CMR,2013,4073348414.2
country/CMR,2018,9095788085.8
country/CMR,2020,11451378683.9
country/CMR,1970,136726448.1
country/CMR,1971,168202180.3
country/CMR,1981,2099647041.1
country/CMR,1983,1992545325.8
country/CMR,1986,2811449515.8
country/CMR,1997,9181277818.1
country/CMR,2003,10049204565.9
country/CMR,2011,2123352540.4
country/CMR,2016,6297228832.9
country/CAF,1977,104228554.2
country/CAF,1979,115881904.1
country/CAF,1981,176244397.1
country/CAF,1990,624105633.7
country/CAF,1992,729611332.6
country/CAF,1993,773206886.0
country/CAF,1996,850364622.4
country/CAF,1998,841130609.4
country/CAF,2005,886615038.8
country/CAF,2006,878713405.2
country/CAF,2013,328130476.9
country/CAF,2014,395667981.2
country/CAF,2018,418124643.7
country/CAF,1970,24056559.7
country/CAF,1973,55258706.9
country/CAF,1974,63878032.4
country/CAF,1988,580144002.6
country/CAF,1991,716923576.6
country/CAF,1997,801503462.5
country/CAF,2000,797330172.8
country/CAF,2001,758407073.8
country/CAF,2003,912858354.1
country/CAF,2009,303055919.3
country/CAF,1982,196315838.9
country/CAF,1983,203003532.2
country/CAF,1985,286441439.9
country/CAF,1989,621429761.9
country/CAF,1994,802413158.9
country/CAF,1995,853947296.4
country/CAF,2004,946211010.0
country/CAF,2012,308841681.5
country/CAF,2016,422422266.1
country/CAF,2017,398918218.2
country/CAF,2020,410566326.8
country/CAF,2021,434889481.3
country/CAF,1971,28153110.2
country/CAF,1972,36274039.9
country/CAF,1975,71299925.4
country/CAF,1976,79236303.4
country/CAF,1978,105737102.1
country/CAF,1980,146543065.4
country/CAF,1984,215242999.8
country/CAF,1986,391798453.8
country/CAF,1987,536516070.9
country/CAF,1999,827703143.9
country/CAF,2002,984353104.4
country/CAF,2007,867203595.7
country/CAF,2008,832099900.3
country/CAF,2010,375833696.5
country/CAF,2011,288005664.1
country/CAF,2015,425397876.5
country/CAF,2019,420694068.9
country/TCD,1970,32501359.3
country/TCD,1976,142146757.8
country/TCD,1977,188624269.1
country/TCD,1979,273132860.5
country/TCD,1982,198543720.2
country/TCD,1984,182155133.4
country/TCD,1987,290062370.8
country/TCD,2000,985531762.9
country/TCD,2005,1525819003.6
country/TCD,2006,1662380498.8
country/TCD,2007,1752330215.8
country/TCD,2013,2819115657.0
country/TCD,2018,2817681745.0
country/TCD,1981,232984507.5
country/TCD,1983,200557235.7
country/TCD,1985,184255801.3
country/TCD,1989,346875713.8
country/TCD,1990,453951550.6
country/TCD,1992,590203290.1
country/TCD,1994,714938703.1
country/TCD,1999,1002151323.5
country/TCD,2014,3622118635.2
country/TCD,1973,45620625.7
country/TCD,1978,245879271.1
country/TCD,1980,259010194.2
country/TCD,1991,547617071.0
country/TCD,1993,638619649.9
country/TCD,1995,775765793.9
country/TCD,1997,870465297.3
country/TCD,2004,1526485809.8
country/TCD,2010,2048863785.3
country/TCD,2011,2221930270.6
country/TCD,2012,2252372657.0
country/TCD,2015,2662106241.7
country/TCD,2020,2960325191.3
country/TCD,1971,44076325.3
country/TCD,1972,33526139.9
country/TCD,1974,70778681.3
country/TCD,1975,137874861.7
country/TCD,1986,221251543.1
country/TCD,1988,341464805.4
country/TCD,1996,864124904.8
country/TCD,1998,944195539.1
country/TCD,2001,976527993.4
country/TCD,2002,1137777359.8
country/TCD,2003,1404319771.6
country/TCD,2008,1743144426.3
country/TCD,2009,1749859507.3
country/TCD,2016,2650255801.0
country/TCD,2017,2840874587.6
country/TCD,2019,2828990386.5
country/TCD,2021,2998686311.7
country/CHN,1985,9940225348.3
country/CHN,1987,25963179948.8
country/CHN,1989,37117932607.8
country/CHN,1991,49479186451.5
country/CHN,2000,94729343675.7
country/CHN,1981,4913954562.5
country/CHN,1982,5222125925.8
country/CHN,1983,5303637603.3
country/CHN,1986,16571434200.4
country/CHN,1988,32620334460.8
country/CHN,1995,94899530047.0
country/CHN,1997,113029031209.9
country/CHN,2001,90973850330.2
country/CHN,1984,6185533891.8
country/CHN,1990,45515193868.2
country/CHN,1999,95632563620.8
country/CHN,1992,58573494534.7
country/CHN,1993,70241238669.9
country/CHN,1994,82601707411.3
country/CHN,1996,102480131407.6
country/CHN,1998,99631810291.8
country/CHN,2002,87624812204.1
country/CHN,2005,86759585790.9
country/CHN,2008,97096164293.7
country/CHN,2009,100871770852.1
country/CHN,2010,102274809825.7
country/CHN,2012,138509762348.5
country/CHN,2016,160185552754.2
country/CHN,2020,392200574020.1
country/CHN,2006,89020277941.6
country/CHN,2015,146061922841.7
country/CHN,2017,196289557624.3
country/COL,1974,2312017082.7
country/COL,1982,6203980135.4
country/COL,1985,9802264713.7
country/COL,1988,14043848825.8
country/COL,1989,14178388603.2
country/COL,1996,15161176223.1
country/COL,2000,21050131722.0
country/COL,2003,22941091658.3
country/COL,2004,23921919034.5
country/COL,2006,24933939012.2
country/COL,1978,2996643740.9
country/COL,1979,3571966897.1
country/COL,1981,5285377457.4
country/COL,1983,7101494606.6
country/COL,1987,14042283563.2
country/COL,1997,15772746233.6
country/COL,2007,27658024422.1
country/CHN,2003,83705626282.3
country/CHN,2004,89063456249.2
country/CHN,2011,114632474016.0
country/CHN,2013,152549448206.9
country/CHN,2018,259686605796.7
country/CHN,2019,318064268908.1
country/CHN,2007,91392949315.9
country/CHN,2014,179054045596.0
country/CHN,2021,475423794018.4
country/COL,1970,1397220268.9
country/COL,1971,1558205470.3
country/COL,1972,1811726928.6
country/COL,1973,2106835665.2
country/COL,1980,4283607164.5
country/COL,1998,17087220455.2
country/COL,2001,21999603692.5
country/COL,2008,29206712361.1
country/COL,1975,2555674960.3
country/COL,1976,2657797359.3
country/COL,1977,2879469210.6
country/COL,1984,7969130041.0
country/COL,1986,12401354987.2
country/COL,1990,14859805244.2
country/COL,1991,14651153215.5
country/COL,1992,13759851513.6
country/COL,1993,13528977691.7
country/COL,1994,14637494449.2
country/COL,1995,14249064679.9
country/COL,1999,20484869361.2
country/COL,2002,20891296811.6
country/COL,2005,22496235367.8
country/COL,2009,35547219160.7
country/COL,2015,69099747174.8
country/COL,2011,41592552980.3
country/COL,2012,46180960788.4
country/COL,2014,61616251366.8
country/COL,2016,73332070704.3
country/COL,2019,75092259099.0
country/COL,2020,85521569388.4
country/COM,1977,23395332.8
country/COM,1984,101544386.8
country/COM,1989,161903916.5
country/COM,1993,169889277.5
country/COM,2003,261258547.2
country/COM,2006,256013134.9
country/COM,2007,274908703.8
country/COM,2015,99886719.6
country/COM,2016,151883707.1
country/COM,2019,231575381.7
country/COM,1973,1691961.4
country/COM,1975,4721546.0
country/COM,1976,18486295.3
country/COM,1978,27995279.3
country/COM,1981,52800843.4
country/COM,1983,83632329.9
country/COM,1988,188820740.6
country/COM,1991,165662112.9
country/COM,1998,214394740.1
country/COM,2001,217100297.2
country/COM,2002,239620276.1
country/COM,2010,248519996.8
country/COM,2011,243307922.6
country/COM,2012,220195412.3
country/COM,2018,221433802.8
country/COL,2010,37057569573.3
country/COL,2013,53594414754.0
country/COL,2017,74477014492.8
country/COL,2018,74893146825.6
country/COL,2021,93900682305.2
country/COM,1979,38455347.1
country/COM,1985,129648522.8
country/COM,1986,158861184.2
country/COM,1990,172430840.2
country/COM,1995,195593274.6
country/COM,1997,205621810.8
country/COM,2004,269161663.7
country/COM,2005,253858778.7
country/COM,2008,264357820.5
country/COM,2013,113072704.9
country/COM,2020,258028364.6
country/COM,1970,1172240.8
country/COM,1971,1238316.0
country/COM,1972,1506741.7
country/COM,1974,4294057.5
country/COM,1980,42975472.9
country/COM,1982,67834926.1
country/COM,1987,188184258.8
country/COM,1992,174867051.7
country/COM,1994,184032550.8
country/COM,1996,208304454.2
country/COM,1999,208544858.8
country/COM,2000,201751874.3
country/COM,2009,258575325.7
country/COM,2014,109246667.4
country/COM,2017,159452490.6
country/COM,2021,272680821.2
country/COD,1976,2380271246.6
country/COD,1978,3686892163.4
country/COD,1981,4224367345.3
country/COD,1985,4958299367.3
country/COD,1990,8986138793.0
country/COD,1996,9267681404.0
country/COD,2004,10108494554.3
country/COD,2005,9395539745.6
country/COD,2009,11873410305.5
country/COD,2011,5191395504.4
country/COD,2016,5595429623.7
country/COD,2020,6288845873.2
country/COD,1983,4433545094.0
country/COD,1987,7199696301.8
country/COD,1988,6933437389.8
country/COD,1989,7969841403.2
country/COD,1991,9277108620.9
country/COD,1994,9286069001.9
country/COD,1998,9206638078.1
country/COD,1999,8254465348.4
country/COD,2010,5691771507.0
country/COD,2015,5843171598.7
country/COD,1970,311217589.6
country/COD,1971,370049468.9
country/COD,1973,910323029.2
country/COD,1974,1349128270.7
country/COD,1975,1726400662.4
country/COD,1982,4072073750.8
country/COD,1984,4284267497.0
country/COD,1986,5917446891.8
country/COD,1992,8952842864.2
country/COD,1997,8620795783.6
country/COD,2000,7872312286.1
country/COD,2019,6057207123.2
country/COD,2021,6516828647.0
country/COD,2002,8837570841.3
country/COD,2003,10135237153.2
country/COD,2007,10897927315.3
country/COD,2008,11755488738.4
country/COD,2017,5782260137.3
country/COD,2018,5800897990.8
country/COD,1972,579940697.1
country/COD,1977,3005348103.7
country/COD,1979,3618848322.3
country/COD,1980,4071562244.7
country/COD,1993,8773163934.6
country/COD,1995,9627935985.5
country/COD,2001,7578655685.6
country/COD,2006,9856831932.3
country/COD,2012,5397499611.3
country/COD,2013,5828379407.7
country/COD,2014,5889523481.9
country/COG,1973,186076201.8
country/COG,1986,2783703612.3
country/COG,1995,4981097707.6
country/COG,2005,5466732199.2
country/COG,2011,2885071768.5
country/COG,1972,156697194.7
country/COG,1978,639428914.5
country/COG,1982,1758904645.5
country/COG,1984,1857511540.9
country/COG,1985,2352413397.6
country/COG,1993,4140336915.6
country/COG,1996,4667295433.0
country/COG,1997,4267006587.0
country/COG,1998,4239489045.5
country/COG,2004,5839975669.4
country/COG,2007,4902973290.6
country/COG,2008,4949459206.8
country/COG,2014,4438052870.2
country/COG,2015,4348175091.1
country/COG,2017,5066651961.2
country/COG,2019,4962526020.4
country/CRI,1980,1819191188.2
country/CRI,1981,2331602527.2
country/CRI,1988,3642763048.5
country/CRI,1989,3635257763.8
country/CRI,1990,3145594865.0
country/CRI,1992,3243964186.8
country/CRI,1993,3191319979.4
country/CRI,1997,2787490055.8
country/CRI,1998,3039871958.5
country/CRI,2003,3847645620.5
country/CRI,1974,363784803.3
country/CRI,1975,495900803.0
country/CRI,1984,3299626970.5
country/CRI,1994,3269668922.9
country/CRI,2002,3381618031.0
country/CRI,2009,3208135710.6
country/CRI,2012,4977355124.0
country/CRI,2014,8819402004.5
country/CRI,2017,11037437508.6
country/CRI,2019,13391791626.4
country/COG,1971,139314792.2
country/COG,1976,374368000.6
country/COG,1977,439042822.5
country/COG,1980,1257934442.0
country/COG,1983,1839910338.3
country/COG,1988,3450492250.8
country/COG,2000,3748049606.3
country/COG,2002,3992496908.5
country/COG,2009,4627911478.6
country/COG,2012,3236255774.6
country/COG,2013,3819949932.6
country/COG,2016,4507851785.5
country/COG,2018,4792862589.9
country/COG,2020,4853767877.4
country/COG,2021,6290797107.7
country/CRI,1972,248425832.2
country/CRI,1977,830800622.6
country/CRI,1979,1424181888.3
country/CRI,1982,2514108996.4
country/CRI,1983,3261186880.8
country/CRI,1985,3645379641.9
country/CRI,1986,3735873468.7
country/CRI,1991,3366689938.6
country/CRI,2001,3519757576.7
country/CRI,2005,3159253414.0
country/CRI,2007,3646179472.2
country/CRI,2008,3224025244.4
country/CRI,2020,12576716219.0
country/CRI,2021,12386312234.1
country/COG,1970,118502214.1
country/COG,1974,256671368.3
country/COG,1975,352696439.2
country/COG,1979,836549376.3
country/COG,1981,1362347557.5
country/COG,1987,3366726838.9
country/COG,1989,3461315041.1
country/COG,1990,4173382135.1
country/COG,1991,4005391036.7
country/COG,1992,3843699063.0
country/COG,1994,4791853754.0
country/COG,1999,3921705913.6
country/COG,2001,3648042217.4
country/COG,2003,4446808317.8
country/COG,2006,5821472351.8
country/COG,2010,2446636456.0
country/CRI,1970,167205203.5
country/CRI,1971,202951659.7
country/CRI,1973,301145368.3
country/CRI,1976,632520616.7
country/CRI,1978,1052271965.1
country/CRI,1987,3813657285.7
country/CRI,1995,3176200114.3
country/CRI,1996,2949124760.9
country/CRI,1999,3194794237.3
country/CRI,2000,3512750652.1
country/CRI,2004,3512063554.1
country/CRI,2006,3309542783.3
country/CRI,2010,3821996704.6
country/CRI,2011,3968455371.6
country/CRI,2013,7466508575.2
country/CRI,2015,10146715170.4
country/CRI,2016,11053717983.2
country/CRI,2018,11940621199.8
country/CIV,1970,255548111.5
country/CIV,1971,353353853.5
country/CIV,1982,5019040297.9
country/CIV,1985,5791163759.1
country/CIV,1988,8609667533.2
country/CIV,1996,11366658369.7
country/CIV,2006,10833186445.6
country/CIV,1974,703548278.3
country/CIV,1975,966465061.7
country/CIV,1978,2822956025.4
country/CIV,1979,3696673722.2
country/CIV,1981,4412917215.6
country/CIV,1990,10665474515.7
country/CIV,2001,8590705807.6
country/CIV,2004,11090584224.7
country/CIV,2005,9974818021.3
country/CIV,2009,12726239907.4
country/CIV,2019,15748099634.7
country/CIV,2007,11657862269.7
country/CIV,2010,9413451309.5
country/CIV,2013,6370463011.7
country/CIV,2014,6620290862.7
country/CIV,2015,8509794119.1
country/CIV,2017,10445294296.8
country/CIV,2021,23168922679.0
country/CIV,1972,400832810.3
country/CIV,1973,583195403.9
country/CIV,1977,1923562130.7
country/CIV,1976,1202634484.7
country/CIV,1983,4843381061.3
country/CIV,1984,4758716282.5
country/CIV,1991,11264584405.2
country/CIV,1993,11110602379.9
country/CIV,1994,11240980480.3
country/CIV,1997,10427060959.8
country/CIV,1998,10799676637.8
country/CIV,1999,9699057824.5
country/CIV,2000,9063446458.9
country/CIV,2002,9101419989.2
country/CIV,2003,9696151525.6
country/CIV,2018,13234372478.8
country/CIV,1980,4326945129.8
country/CIV,1986,7568780934.7
country/CIV,1987,9283173252.5
country/CIV,1989,9067854213.3
country/CIV,1992,11243940128.6
country/CIV,1995,11902075654.8
country/CIV,2008,10639561413.8
country/CIV,2011,9897100599.5
country/CIV,2012,5050959750.9
country/CIV,2016,8368883419.9
country/CIV,2020,20012973796.1
country/DJI,1972,5368001.3
country/DJI,1973,6284821.9
country/DJI,1978,21045654.3
country/DJI,1982,24412686.7
country/DJI,1990,155214371.1
country/DJI,1996,279492995.8
country/DJI,2002,301449323.2
country/DJI,2011,641216411.3
country/DJI,2016,1602776809.9
country/DJI,2020,2353516908.8
country/DMA,1996,100027756.8
country/DMA,1999,114531130.5
country/DMA,2001,210133915.8
country/DMA,2003,224771350.7
country/DMA,2004,244648126.5
country/DMA,2005,241254953.3
country/DMA,2012,272668462.2
country/DMA,2015,285163451.7
country/DMA,2016,267117680.4
country/DMA,2019,245665100.9
country/DJI,1970,2594794.2
country/DJI,1980,25819344.9
country/DJI,1992,219333161.1
country/DJI,1993,230941357.3
country/DJI,1997,253295387.8
country/DJI,1999,248703156.9
country/DJI,2004,390216683.0
country/DJI,2006,441656515.7
country/DJI,2014,813173439.3
country/DJI,2019,2145538062.8
country/DJI,1971,2637248.5
country/DJI,1974,8215540.5
country/DJI,1977,19240608.5
country/DJI,1979,20521872.5
country/DJI,1981,19839075.3
country/DJI,1987,154398153.6
country/DJI,1989,131249634.3
country/DJI,1994,254966732.0
country/DJI,2000,238470968.6
country/DJI,2003,362195413.4
country/DJI,2005,379258007.8
country/DJI,2007,651174028.2
country/DJI,2008,679268196.2
country/DJI,2010,611551056.3
country/DJI,2012,632579864.0
country/DJI,2018,2045009716.0
country/DJI,2021,2411641242.0
country/DMA,1985,48608420.9
country/DMA,1987,63702557.9
country/DMA,1994,90196402.5
country/DMA,1998,95991269.3
country/DMA,2000,163554633.4
country/DMA,2006,235938849.4
country/DMA,2007,232939635.2
country/DMA,2009,217933286.6
country/DMA,2010,235618826.2
country/DMA,2011,247580583.5
country/DMA,2013,280436286.3
country/DMA,1981,14328422.0
country/DMA,1982,20321009.3
country/DMA,1988,65181768.9
country/DMA,1989,72179124.5
country/DMA,1991,90295835.4
country/DMA,1992,90775407.8
country/DMA,1995,96402573.8
country/DMA,1997,92864586.8
country/DMA,2002,218947142.1
country/DMA,2014,281789388.7
country/DMA,2018,242802271.4
country/DMA,2021,312336090.8
country/DJI,1975,12235670.8
country/DJI,1976,17257778.4
country/DJI,1983,33566963.8
country/DJI,1984,61689458.7
country/DJI,1985,95976961.9
country/DJI,1986,119210371.4
country/DJI,1988,158287377.7
country/DJI,1991,204686617.5
country/DJI,1995,269071044.0
country/DJI,1998,264116724.3
country/DJI,2001,236732835.6
country/DJI,2009,738881323.8
country/DJI,2013,665055815.9
country/DJI,2015,1174322941.3
country/DJI,2017,1944879880.0
country/DMA,1983,27633669.8
country/DMA,1984,41032178.4
country/DMA,1986,51834138.2
country/DMA,1990,83048532.8
country/DMA,1993,94252814.3
country/DMA,2008,221911559.8
country/DMA,2017,264476043.5
country/DMA,2020,276520731.3
country/DOM,1970,241594000.0
country/DOM,1973,358758715.8
country/DOM,1975,467672433.4
country/DOM,1981,1478441612.9
country/DOM,1983,2277735888.6
country/DOM,1984,2436300029.4
country/DOM,1985,2762006933.3
country/DOM,1988,3363982403.9
country/DOM,1993,3889139626.4
country/DOM,1995,3738039284.7
country/DOM,2002,4370725844.9
country/DOM,2004,6650504553.6
country/DOM,2013,14174662646.8
country/DOM,2015,15814839514.3
country/DOM,2017,18513928696.2
country/DOM,2018,21375007211.7
country/DOM,2021,32506506083.1
country/DOM,1977,674749224.7
country/DOM,1982,1744221650.4
country/DOM,1989,3429844724.2
country/DOM,1990,3531890899.7
country/DOM,1994,3710774822.4
country/DOM,2006,6904003701.7
country/DOM,2009,8162234144.9
country/DOM,2010,9440605901.9
country/DOM,2011,10761625596.7
country/DOM,2012,11983223607.5
country/DOM,1978,804982128.4
country/DOM,1980,1299082218.6
country/DOM,1986,3004456145.1
country/DOM,1987,3309428213.9
country/DOM,1996,3607285590.1
country/DOM,1997,3531288627.1
country/DOM,1998,3552745882.6
country/DOM,2000,3381317999.2
country/DOM,2005,6417573059.9
country/DOM,2014,15700688750.4
country/DOM,1971,268840000.0
country/DOM,1972,318541325.0
country/DOM,1974,402066126.1
country/DOM,1976,567902030.7
country/DOM,1979,943894848.3
country/DOM,1991,3865336994.2
country/DOM,1992,3840188068.8
country/DOM,1999,3649735993.8
country/DOM,2001,3866675465.5
country/DOM,2003,6068332039.8
country/DOM,2007,6825216064.8
country/DOM,2008,7285303130.5
country/DOM,2016,17185623100.5
country/DOM,2019,23006434523.9
country/DOM,2020,29856238518.6
country/ECU,1970,233172588.1
country/ECU,1977,1223164571.4
country/ECU,1985,7288214242.7
country/ECU,1995,15075259500.5
country/ECU,2012,10413398850.4
country/ECU,1971,254792965.1
country/ECU,1975,522279992.3
country/ECU,1981,4299236471.0
country/ECU,1983,5644166367.7
country/ECU,2014,17564700191.9
country/ECU,2017,31613487360.2
country/ECU,2019,38390708595.6
country/ECU,2021,38706933875.5
country/EGY,1972,1449772738.5
country/EGY,1973,1390765328.6
country/EGY,1981,17804789074.6
country/EGY,1982,21539803773.1
country/EGY,1983,24170956669.0
country/EGY,1987,36429604880.0
country/EGY,1989,36548557957.1
country/EGY,1993,27944438950.6
country/EGY,1997,26829660291.7
country/EGY,2000,24378843161.9
country/EGY,2004,29388129147.5
country/EGY,2005,28632851339.9
country/EGY,2007,32123617072.3
country/EGY,2009,31353825392.6
country/EGY,2012,31969394284.6
country/EGY,2016,53205854615.9
country/EGY,2019,89709697027.6
country/EGY,1970,1351123116.7
country/EGY,1974,1500786305.2
country/EGY,1975,3631411064.8
country/EGY,1980,14427943957.6
country/EGY,1988,37955647979.5
country/EGY,1990,27440706699.1
country/EGY,1991,28526194762.8
country/EGY,1994,29998503683.4
country/EGY,1995,30686733372.4
country/EGY,2014,37097621717.2
country/EGY,2018,79348979901.6
country/ECU,1972,334419121.8
country/ECU,1974,378998193.9
country/ECU,1978,2330101233.8
country/ECU,1984,6649718044.1
country/ECU,1986,8343481777.2
country/ECU,1988,9091534681.9
country/ECU,1989,9485749448.0
country/ECU,1993,9943744545.9
country/ECU,1996,15396776634.4
country/ECU,1997,15813115366.1
country/ECU,1998,15961956834.1
country/ECU,1999,16354233280.1
country/ECU,2002,14320657124.6
country/ECU,2003,14479629046.8
country/ECU,2007,13978901613.0
country/ECU,2008,13328113926.3
country/ECU,2016,25566764833.4
country/ECU,2018,35480842844.8
country/EGY,1977,6994314961.5
country/EGY,1984,25648856499.3
country/EGY,1986,31676294963.8
country/EGY,1996,29022026190.8
country/EGY,1998,27701364757.6
country/EGY,1999,26159653365.9
country/EGY,2001,25335272473.8
country/EGY,2002,26678389185.5
country/EGY,2003,28085162986.7
country/EGY,2010,32188678423.2
country/EGY,2011,30753877033.7
country/EGY,2017,65604553016.4
country/ECU,1973,366739123.7
country/ECU,1976,695102930.2
country/ECU,1979,2714392148.3
country/ECU,1980,3412423611.2
country/ECU,1982,3987975417.0
country/ECU,1987,9071272781.5
country/ECU,1990,9920316970.6
country/ECU,1991,10003665701.6
country/ECU,1992,9813875870.1
country/ECU,1994,13581933331.5
country/ECU,2000,14751635808.4
country/ECU,2001,14533332984.6
country/ECU,2004,14123418885.1
country/ECU,2005,14108970339.8
country/ECU,2006,13561421252.8
country/ECU,2009,7102384140.2
country/ECU,2010,8787331017.8
country/ECU,2011,10151521365.3
country/ECU,2013,12482173604.3
country/ECU,2015,20144626316.5
country/ECU,2020,37811122942.7
country/EGY,1971,1494626793.0
country/EGY,1976,4607301059.0
country/EGY,1978,8908863787.8
country/EGY,1979,10426470111.3
country/EGY,1985,28994517159.3
country/EGY,1992,27848902857.0
country/EGY,2006,29020055262.6
country/EGY,2008,30779782456.5
country/EGY,2013,42289509615.7
country/EGY,2015,44154342710.9
country/EGY,2020,97068592129.1
country/EGY,2021,105938993369.0
country/SLV,1973,145278601.1
country/SLV,1985,1648555361.7
country/SLV,1987,1766605500.7
country/SLV,1996,2271382297.5
country/SLV,1998,2379664088.5
country/SLV,2006,5388629361.6
country/SLV,2014,8691097364.6
country/ERI,1997,75455613.8
country/ERI,2002,489213774.9
country/ERI,2004,703995465.6
country/ERI,2009,1012986669.3
country/ERI,2013,894370569.0
country/ERI,2014,828875547.6
country/ERI,2020,729400216.7
country/ERI,2021,663323138.6
country/SWZ,1973,36932052.2
country/SWZ,1978,131244663.9
country/SWZ,1980,186931530.3
country/SWZ,1982,186694164.9
country/SWZ,1984,170182597.1
country/SWZ,1986,245853419.5
country/SWZ,1990,251439050.2
country/SWZ,1995,238522620.1
country/SWZ,1996,232796204.0
country/SWZ,1997,250946483.1
country/SWZ,2000,262335436.1
country/SWZ,2004,412172946.9
country/SWZ,2011,384070453.9
country/SLV,1971,117082206.7
country/SLV,1974,234748806.8
country/SLV,1975,274921283.2
country/SLV,1979,495189596.7
country/SLV,1986,1682186455.8
country/SLV,1988,1788606027.0
country/SLV,1990,1992998224.6
country/SLV,1991,2144560298.6
country/SLV,1992,2228573713.4
country/SLV,1993,1873081268.6
country/SLV,1997,2348187394.6
country/SLV,2008,5791445789.5
country/SLV,2009,6147030597.2
country/SLV,2011,7271621415.6
country/SLV,2019,9856064381.4
country/SWZ,2014,298725484.2
country/SWZ,2021,620028438.0
country/ERI,1996,44286454.5
country/ERI,1998,146136192.0
country/ERI,2007,855667833.1
country/ERI,2008,956964488.3
country/ERI,2015,782432705.8
country/ERI,2017,772043390.2
country/ERI,2018,736129760.8
country/ERI,2019,718072736.7
country/SLV,1970,110757537.2
country/SLV,1972,134966791.7
country/SLV,1977,356416218.0
country/SLV,1978,418600248.5
country/SLV,1989,1916353757.1
country/SLV,1994,1965091035.4
country/SLV,1999,2582513703.3
country/SLV,2003,5376026305.7
country/SLV,2007,5454044218.8
country/SLV,2013,7867735679.5
country/SLV,2015,8604025944.4
country/SLV,2017,9488774611.9
country/SLV,2018,9505477089.4
country/SLV,2020,10645466474.2
country/ERI,1994,29056800.1
country/ERI,1995,36689461.6
country/ERI,1999,252557948.3
country/ERI,2000,297996112.2
country/ERI,2001,394848948.3
country/ERI,2010,998425572.6
country/ERI,2011,1010014612.5
country/ERI,2016,750284109.0
country/SWZ,1970,37033600.0
country/SWZ,1971,34636158.6
country/SWZ,1972,32579541.5
country/SWZ,1975,33746594.9
country/SWZ,1977,52099341.7
country/SWZ,1985,207418427.8
country/SWZ,1999,278646289.5
country/SWZ,2003,392330707.1
country/SWZ,2006,421570426.5
country/SWZ,2007,448485463.2
country/SWZ,2017,427376971.3
country/SWZ,2018,498408679.3
country/SWZ,2020,584357331.7
country/SWZ,1976,40783709.8
country/SWZ,1981,174606366.1
country/SWZ,1989,249514351.4
country/SWZ,1991,255668849.4
country/SWZ,1993,221094052.4
country/SWZ,1994,232090213.8
country/SWZ,1998,272585989.0
country/SWZ,2002,334387864.8
country/SWZ,2008,422332803.4
country/SWZ,2009,430459746.0
country/SWZ,2013,310010811.6
country/SWZ,2015,296863205.0
country/SWZ,2019,539995945.2
country/SLV,1976,349868637.0
country/SLV,1980,584471116.0
country/SLV,1981,793598996.3
country/SLV,1982,1066543072.7
country/SLV,1983,1485292798.9
country/SLV,1984,1576920479.6
country/SLV,1995,2036678022.2
country/SLV,2000,2746022618.6
country/SLV,2001,3249665078.7
country/SLV,2002,4788464945.1
country/SLV,2004,5566959311.5
country/SLV,2005,5107176437.3
country/SLV,2010,6838561802.3
country/SLV,2012,7884971834.6
country/SLV,2016,8710483051.1
country/SLV,2021,11462549362.6
country/ERI,2003,605124676.5
country/ERI,2005,722988768.9
country/ERI,2006,781370032.2
country/ERI,2012,949645127.1
country/SWZ,1974,36186536.7
country/SWZ,1979,171935456.9
country/SWZ,1983,184842757.5
country/SWZ,1987,279622338.6
country/SWZ,1988,249961045.7
country/SWZ,1992,231807035.7
country/SWZ,2001,268448495.6
country/SWZ,2005,415695489.7
country/SWZ,2010,431036378.6
country/SWZ,2012,345746664.1
country/SWZ,2016,366275610.2
country/ETH,1972,226245546.5
country/ETH,1973,256377243.8
country/ETH,1985,5063985605.7
country/ETH,1992,9017502979.4
country/ETH,1996,9497620197.3
country/ETH,2007,2507570774.5
country/ETH,2012,9943516371.1
country/ETH,2014,16201326305.3
country/ETH,2017,25234772829.6
country/ETH,1974,283110667.9
country/ETH,1978,500427306.5
country/ETH,1979,601925518.8
country/ETH,1982,3051068408.0
country/ETH,1983,3648825436.0
country/ETH,1989,7713650695.9
country/ETH,1991,8857863685.9
country/ETH,1993,9300872875.6
country/ETH,1999,5374811148.4
country/ETH,2000,5338840853.8
country/ETH,2002,6337040280.1
country/ETH,2003,7043842799.3
country/ETH,2006,2141206027.3
country/ETH,2011,7941541673.3
